

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
037.592  000.078  000.078: require('lspconfig.server_configurations.bashls')
037.982  000.080  000.080: require('lspconfig.server_configurations.prismals')
038.362  000.113  000.113: require('lspconfig.server_configurations.html')
038.626  000.060  000.060: require('lspconfig.server_configurations.lemminx')
038.944  000.067  000.067: require('lspconfig.server_configurations.emmet_ls')
039.261  000.086  000.086: require('lspconfig.server_configurations.lua_ls')
039.553  000.068  000.068: require('lspconfig.server_configurations.jsonls')
039.878  000.076  000.076: require('lspconfig.server_configurations.cssls')
040.157  000.066  000.066: require('lspconfig.server_configurations.marksman')
040.536  000.174  000.174: require('lspconfig.server_configurations.eslint')
040.858  000.077  000.077: require('lspconfig.server_configurations.tsserver')
041.186  000.066  000.066: require('mason-lspconfig.ensure_installed')
041.625  000.121  000.121: require('mason-core.result')
042.434  000.504  000.504: require('mason-core.process')
042.456  000.629  000.125: require('mason-core.spawn')
042.567  000.109  000.109: require('mason-core.receipt')
042.584  000.957  000.219: require('mason-core.installer.context')
042.695  000.111  000.111: require('mason-core.installer.linker')
042.767  000.071  000.071: require('mason-core.async.control')
042.770  001.433  000.174: require('mason-core.installer')
042.906  000.134  000.134: require('mason-core.installer.handle')
043.361  000.095  000.095: require('mason-core.managers.powershell')
043.363  000.200  000.105: require('mason-core.fetch')
043.364  000.242  000.043: require('mason-core.managers.cargo.client')
043.645  000.144  000.144: require('mason-core.managers.std')
043.799  000.070  000.070: require('mason-core.providers')
043.807  000.161  000.091: require('mason-core.managers.github.client')
043.828  000.462  000.156: require('mason-core.managers.github')
043.837  000.855  000.151: require('mason-core.managers.cargo')
043.947  000.108  000.108: require('mason-core.managers.composer')
044.070  000.123  000.123: require('mason-core.managers.gem')
044.152  000.080  000.080: require('mason-core.managers.git')
044.282  000.129  000.129: require('mason-core.managers.go')
044.403  000.120  000.120: require('mason-core.managers.luarocks')
044.514  000.111  000.111: require('mason-core.managers.npm')
044.652  000.137  000.137: require('mason-core.managers.pip3')
044.656  001.749  000.086: require('mason-core.package.version-check')
044.660  003.472  000.157: require('mason-core.package')
044.754  000.087  000.087: require('mason-registry.typescript-language-server')
044.839  000.078  000.078: require('mason-registry.lua-language-server')
044.842  035.698  005.761: require('config.lsp')
048.645  003.803  003.803: require('snippets')
048.649  044.651  000.020: sourcing /home/jordanrhea/.config/nvim/init.lua
048.657  000.607: sourcing vimrc file(s)
048.939  000.010  000.010: sourcing /home/jordanrhea/.local/share/nvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
049.012  000.005  000.005: sourcing /home/jordanrhea/.local/share/nvim/site/pack/packer/start/neorg/ftdetect/norg.vim
049.266  000.455  000.439: sourcing /usr/share/nvim/runtime/filetype.lua
049.286  000.011  000.011: sourcing /usr/share/nvim/runtime/filetype.vim
049.489  000.060  000.060: sourcing /usr/share/nvim/runtime/syntax/synload.vim
049.623  000.292  000.232: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
050.365  000.122  000.122: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
050.379  000.006  000.006: sourcing /usr/share/nvim/runtime/plugin/health.vim
050.672  000.116  000.116: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
050.729  000.344  000.229: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
050.838  000.102  000.102: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
051.065  000.220  000.220: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
051.171  000.005  000.005: sourcing /home/jordanrhea/.local/share/nvim/rplugin.vim
051.174  000.093  000.088: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
051.223  000.040  000.040: sourcing /usr/share/nvim/runtime/plugin/shada.vim
051.250  000.015  000.015: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
051.329  000.071  000.071: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
051.391  000.048  000.048: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
051.409  000.009  000.009: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
051.506  000.087  000.087: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
053.824  000.101  000.101: require('vim.treesitter.language')
053.833  000.456  000.356: require('vim.treesitter.query')
055.445  000.303  000.303: require('vim.treesitter.languagetree')
055.455  000.532  000.229: require('vim.treesitter')
055.915  001.675  001.143: require('nvim-treesitter.parsers')
056.138  000.221  000.221: require('nvim-treesitter.utils')
056.146  002.169  000.273: require('nvim-treesitter.ts_utils')
056.152  002.317  000.148: require('nvim-treesitter.tsrange')
056.278  000.125  000.125: require('nvim-treesitter.caching')
056.304  003.190  000.291: require('nvim-treesitter.query')
056.347  003.586  000.396: require('nvim-treesitter.configs')
057.390  000.193  000.193: require('nvim-treesitter.info')
057.634  000.242  000.242: require('nvim-treesitter.shell_command_selectors')
057.651  001.199  000.765: require('nvim-treesitter.install')
071.359  019.413  014.628: require('config.treesitter')
071.572  000.168  000.168: require('nvim_comment')
071.606  000.243  000.076: require('config.nvim-comment')
071.931  000.101  000.101: require('gitsigns.async')
071.976  000.043  000.043: require('gitsigns.status')
072.380  000.100  000.100: require('gitsigns.debug')
072.496  000.115  000.115: require('gitsigns.util')
072.624  000.056  000.056: require('gitsigns.uv')
072.626  000.129  000.073: require('gitsigns.subprocess')
073.085  000.031  000.031: require('gitsigns.message')
073.091  000.228  000.198: require('gitsigns.config')
073.119  000.026  000.026: require('gitsigns.signs.base')
073.120  000.292  000.037: require('gitsigns.signs')
073.124  000.482  000.190: require('gitsigns.hunks')
073.164  001.187  000.362: require('gitsigns.git')
073.481  000.057  000.057: require('gitsigns.cache')
073.533  000.050  000.050: require('gitsigns.debounce')
073.567  000.033  000.033: require('gitsigns.diff')
073.576  000.411  000.271: require('gitsigns.manager')
073.704  000.127  000.127: require('gitsigns.highlight')
073.711  002.103  000.235: require('gitsigns')
074.110  000.116  000.116: require('gitsigns.signs.vimfn')
076.231  000.419  000.419: require('nvim-surround.config')
076.240  000.691  000.272: require('nvim-surround.buffer')
076.309  000.067  000.067: require('nvim-surround.cache')
076.584  000.128  000.128: require('nvim-surround.patterns')
076.588  000.278  000.150: require('nvim-surround.utils')
076.593  001.433  000.396: require('nvim-surround')
076.994  000.065  000.065: require('neorg.callbacks')
077.251  000.133  000.133: require('neorg.external.log')
077.904  000.268  000.268: require('neorg.external.helpers')
078.004  000.444  000.176: require('neorg.config')
078.006  000.570  000.126: require('neorg.modules.base')
